Student Name,Status,Subject,Faculty,Period,Date,Time,SavedAt
student (1),Present,DATA STRUCTURES,AV RAO,Period 1,2025-11-04,15:23,2025-11-04 15:23:17
student (10),Present,DATA STRUCTURES,AV RAO,Period 1,2025-11-04,15:23,2025-11-04 15:23:17
student (11),Present,DATA STRUCTURES,AV RAO,Period 1,2025-11-04,15:23,2025-11-04 15:23:17
student (12),Present,DATA STRUCTURES,AV RAO,Period 1,2025-11-04,15:23,2025-11-04 15:23:17
student (13),Present,DATA STRUCTURES,AV RAO,Period 1,2025-11-04,15:23,2025-11-04 15:23:17
student (14),Present,DATA STRUCTURES,AV RAO,Period 1,2025-11-04,15:23,2025-11-04 15:23:17
student (15),Present,DATA STRUCTURES,AV RAO,Period 1,2025-11-04,15:23,2025-11-04 15:23:17
student (16),Absent,DATA STRUCTURES,AV RAO,Period 1,2025-11-04,15:23,2025-11-04 15:23:17
student (2),Present,DATA STRUCTURES,AV RAO,Period 1,2025-11-04,15:23,2025-11-04 15:23:17
student (3),Present,DATA STRUCTURES,AV RAO,Period 1,2025-11-04,15:23,2025-11-04 15:23:17
student (4),Present,DATA STRUCTURES,AV RAO,Period 1,2025-11-04,15:23,2025-11-04 15:23:17
student (5),Present,DATA STRUCTURES,AV RAO,Period 1,2025-11-04,15:23,2025-11-04 15:23:17
student (6),Present,DATA STRUCTURES,AV RAO,Period 1,2025-11-04,15:23,2025-11-04 15:23:17
student (7),Present,DATA STRUCTURES,AV RAO,Period 1,2025-11-04,15:23,2025-11-04 15:23:17
student (8),Present,DATA STRUCTURES,AV RAO,Period 1,2025-11-04,15:23,2025-11-04 15:23:17
student (9),Present,DATA STRUCTURES,AV RAO,Period 1,2025-11-04,15:23,2025-11-04 15:23:17
