Student Name,Status,Subject,Faculty,Period,Date,Time,SavedAt
student (1),Present,DATA STRUCTURES,,Period 1,2025-11-04,15:50,2025-11-04 15:50:35
student (10),Present,DATA STRUCTURES,,Period 1,2025-11-04,15:50,2025-11-04 15:50:35
student (11),Present,DATA STRUCTURES,,Period 1,2025-11-04,15:50,2025-11-04 15:50:35
student (12),Present,DATA STRUCTURES,,Period 1,2025-11-04,15:50,2025-11-04 15:50:35
student (13),Present,DATA STRUCTURES,,Period 1,2025-11-04,15:50,2025-11-04 15:50:35
student (14),Present,DATA STRUCTURES,,Period 1,2025-11-04,15:50,2025-11-04 15:50:35
student (15),Present,DATA STRUCTURES,,Period 1,2025-11-04,15:50,2025-11-04 15:50:35
student (16),Absent,DATA STRUCTURES,,Period 1,2025-11-04,15:50,2025-11-04 15:50:35
student (2),Present,DATA STRUCTURES,,Period 1,2025-11-04,15:50,2025-11-04 15:50:35
student (3),Present,DATA STRUCTURES,,Period 1,2025-11-04,15:50,2025-11-04 15:50:35
student (4),Present,DATA STRUCTURES,,Period 1,2025-11-04,15:50,2025-11-04 15:50:35
student (5),Present,DATA STRUCTURES,,Period 1,2025-11-04,15:50,2025-11-04 15:50:35
student (6),Present,DATA STRUCTURES,,Period 1,2025-11-04,15:50,2025-11-04 15:50:35
student (7),Present,DATA STRUCTURES,,Period 1,2025-11-04,15:50,2025-11-04 15:50:35
student (8),Present,DATA STRUCTURES,,Period 1,2025-11-04,15:50,2025-11-04 15:50:35
student (9),Present,DATA STRUCTURES,,Period 1,2025-11-04,15:50,2025-11-04 15:50:35
