Student Name,Status,Subject,Faculty,Period,Date,Time,SavedAt
student (1),Present,Data structures,av rao,Period 2,2025-11-04,04:13 PM,2025-11-04 16:13:49
student (10),Present,Data structures,av rao,Period 2,2025-11-04,04:13 PM,2025-11-04 16:13:49
student (11),Present,Data structures,av rao,Period 2,2025-11-04,04:13 PM,2025-11-04 16:13:49
student (12),Present,Data structures,av rao,Period 2,2025-11-04,04:13 PM,2025-11-04 16:13:49
student (13),Present,Data structures,av rao,Period 2,2025-11-04,04:13 PM,2025-11-04 16:13:49
student (14),Present,Data structures,av rao,Period 2,2025-11-04,04:13 PM,2025-11-04 16:13:49
student (15),Present,Data structures,av rao,Period 2,2025-11-04,04:13 PM,2025-11-04 16:13:49
student (16),Absent,Data structures,av rao,Period 2,2025-11-04,04:13 PM,2025-11-04 16:13:49
student (2),Present,Data structures,av rao,Period 2,2025-11-04,04:13 PM,2025-11-04 16:13:49
student (3),Present,Data structures,av rao,Period 2,2025-11-04,04:13 PM,2025-11-04 16:13:49
student (4),Present,Data structures,av rao,Period 2,2025-11-04,04:13 PM,2025-11-04 16:13:49
student (5),Present,Data structures,av rao,Period 2,2025-11-04,04:13 PM,2025-11-04 16:13:49
student (6),Present,Data structures,av rao,Period 2,2025-11-04,04:13 PM,2025-11-04 16:13:49
student (7),Present,Data structures,av rao,Period 2,2025-11-04,04:13 PM,2025-11-04 16:13:49
student (8),Present,Data structures,av rao,Period 2,2025-11-04,04:13 PM,2025-11-04 16:13:49
student (9),Present,Data structures,av rao,Period 2,2025-11-04,04:13 PM,2025-11-04 16:13:49
